stream,subject_liked,skills,soft_skill,preferred_field,career_label
Science,Economics,Creativity,Adaptability,Research,Teacher
Commerce,Math,Creativity,Adaptability,Research,AI Researcher
Management,Chemistry,Teamwork,Leadership,Design,Investment Banker
Computer Science,Math,Research,Collaboration,Healthcare,Psychologist
Management,History,Programming,Empathy,Education,Graphic Designer
Management,Biology,Teamwork,Adaptability,Engineering,Software Engineer
Engineering,Math,Problem Solving,Leadership,Education,Entrepreneur
Engineering,History,Analytical Thinking,Adaptability,Education,Psychologist
Computer Science,Chemistry,Creativity,Critical Thinking,Finance,Web Developer
Computer Science,Math,Creativity,Adaptability,Education,Entrepreneur
Management,CS,Problem Solving,Critical Thinking,Education,UX Designer
Computer Science,CS,Research,Leadership,Education,Teacher
Commerce,Physics,Analytical Thinking,Critical Thinking,IT,Graphic Designer
Computer Science,Geography,Teamwork,Leadership,IT,Data Scientist
Computer Science,Chemistry,Programming,Adaptability,IT,Lawyer
Arts,Accounts,Analytical Thinking,Leadership,Healthcare,Accountant
Commerce,Biology,Teamwork,Critical Thinking,Engineering,Lawyer
Computer Science,Biology,Programming,Empathy,Research,Lawyer
Management,Accounts,Teamwork,Adaptability,Research,Data Scientist
Science,Chemistry,Teamwork,Leadership,Finance,Web Developer
Engineering,Physics,Communication,Leadership,IT,Civil Servant
Management,CS,Creativity,Empathy,Engineering,Psychologist
Science,Economics,Creativity,Critical Thinking,Research,Graphic Designer
Management,Physics,Creativity,Leadership,Marketing,Civil Servant
Commerce,Biology,Analytical Thinking,Adaptability,Research,Teacher
Computer Science,Biology,Teamwork,Time Management,Engineering,Web Developer
Computer Science,Math,Analytical Thinking,Collaboration,Education,Accountant
Management,Accounts,Teamwork,Critical Thinking,Healthcare,Business Analyst
Engineering,Biology,Analytical Thinking,Critical Thinking,Design,Robotics Engineer
Computer Science,History,Creativity,Empathy,Education,Web Developer
Commerce,History,Communication,Leadership,Design,UX Designer
Commerce,Accounts,Teamwork,Empathy,Education,Doctor
Medical,Physics,Programming,Collaboration,Engineering,Business Analyst
Engineering,Geography,Creativity,Empathy,Engineering,Doctor
Management,CS,Communication,Time Management,Finance,Data Scientist
Commerce,Accounts,Teamwork,Time Management,IT,Doctor
Science,History,Communication,Critical Thinking,Marketing,AI Researcher
Engineering,Chemistry,Communication,Collaboration,Education,Psychologist
Management,Math,Teamwork,Adaptability,Marketing,Psychologist
Commerce,CS,Communication,Leadership,Research,Accountant
Computer Science,Math,Problem Solving,Time Management,IT,Pharmacist
Commerce,Accounts,Teamwork,Adaptability,Design,Business Analyst
Commerce,CS,Creativity,Empathy,Engineering,UX Designer
Arts,Biology,Analytical Thinking,Empathy,Finance,Architect
Medical,History,Teamwork,Time Management,Finance,UX Designer
Medical,CS,Research,Collaboration,Research,Robotics Engineer
Management,Accounts,Communication,Empathy,Marketing,Pharmacist
Commerce,Biology,Programming,Collaboration,Marketing,Business Analyst
Computer Science,Physics,Programming,Adaptability,Marketing,AI Researcher
Engineering,Geography,Communication,Leadership,Marketing,Civil Servant
Arts,Biology,Analytical Thinking,Collaboration,Marketing,Marketing Manager
Commerce,CS,Problem Solving,Empathy,IT,Investment Banker
Science,Economics,Programming,Empathy,IT,Investment Banker
Computer Science,CS,Communication,Empathy,Education,Entrepreneur
Medical,History,Analytical Thinking,Collaboration,Engineering,Psychologist
Management,Biology,Teamwork,Leadership,IT,Software Engineer
Engineering,Geography,Analytical Thinking,Leadership,Design,Civil Servant
Engineering,Accounts,Creativity,Time Management,Design,Entrepreneur
Management,Geography,Communication,Empathy,Design,Pharmacist
Management,Math,Programming,Critical Thinking,Healthcare,Data Scientist
Engineering,Chemistry,Teamwork,Critical Thinking,Engineering,Graphic Designer
Management,Math,Programming,Adaptability,Design,Teacher
Engineering,Economics,Communication,Time Management,IT,Robotics Engineer
Commerce,Chemistry,Research,Collaboration,Healthcare,Marketing Manager
Arts,Physics,Creativity,Collaboration,Education,Pharmacist
Commerce,Accounts,Problem Solving,Leadership,IT,Entrepreneur
Management,Biology,Creativity,Adaptability,Engineering,Civil Servant
Commerce,CS,Programming,Leadership,Design,Data Scientist
Management,Economics,Teamwork,Critical Thinking,Healthcare,Mechanical Engineer
Commerce,Physics,Programming,Time Management,Finance,Robotics Engineer
Commerce,Chemistry,Analytical Thinking,Empathy,Engineering,Marketing Manager
Computer Science,Math,Problem Solving,Empathy,Research,AI Researcher
Science,Math,Programming,Leadership,Engineering,Psychologist
Engineering,Accounts,Teamwork,Empathy,Finance,AI Researcher
Commerce,Chemistry,Communication,Adaptability,IT,AI Researcher
Management,Physics,Creativity,Time Management,Finance,Investment Banker
Commerce,Chemistry,Problem Solving,Adaptability,Design,Robotics Engineer
Medical,Economics,Research,Time Management,Design,Investment Banker
Science,CS,Communication,Empathy,Healthcare,Graphic Designer
Arts,Chemistry,Programming,Leadership,Education,AI Researcher
Medical,Economics,Communication,Collaboration,Design,Accountant
Arts,CS,Research,Adaptability,Healthcare,Mechanical Engineer
Commerce,Physics,Analytical Thinking,Leadership,Research,Doctor
Arts,History,Communication,Critical Thinking,Marketing,Doctor
Computer Science,Economics,Programming,Leadership,Research,Graphic Designer
Commerce,Geography,Research,Critical Thinking,Finance,Architect
Computer Science,Math,Creativity,Time Management,Design,Data Scientist
Engineering,Biology,Problem Solving,Empathy,Research,Graphic Designer
Medical,Economics,Creativity,Adaptability,IT,Graphic Designer
Science,History,Research,Leadership,Research,AI Researcher
Computer Science,Biology,Analytical Thinking,Empathy,Healthcare,Software Engineer
Arts,Physics,Communication,Leadership,Engineering,Doctor
Science,Biology,Analytical Thinking,Empathy,Design,Pharmacist
Arts,History,Research,Empathy,Education,Software Engineer
Management,Physics,Research,Empathy,Finance,Investment Banker
Management,Physics,Research,Adaptability,Education,Web Developer
Medical,Accounts,Creativity,Collaboration,Marketing,UX Designer
Science,Chemistry,Analytical Thinking,Time Management,Marketing,Software Engineer
Computer Science,Math,Programming,Critical Thinking,Marketing,Psychologist
Engineering,CS,Creativity,Collaboration,IT,Lawyer
Science,Geography,Teamwork,Adaptability,Engineering,Marketing Manager
Commerce,Geography,Communication,Empathy,Education,Web Developer
Engineering,Physics,Communication,Leadership,Design,Graphic Designer
Management,Biology,Research,Empathy,Engineering,Software Engineer
Engineering,CS,Problem Solving,Adaptability,Education,Teacher
Commerce,Chemistry,Communication,Adaptability,IT,Civil Servant
Computer Science,CS,Problem Solving,Leadership,Marketing,Pharmacist
Commerce,Math,Analytical Thinking,Empathy,IT,Business Analyst
Commerce,Math,Programming,Critical Thinking,IT,Psychologist
Science,Biology,Communication,Critical Thinking,Engineering,Civil Servant
Management,Geography,Analytical Thinking,Collaboration,Marketing,Entrepreneur
Science,Geography,Analytical Thinking,Empathy,Research,Graphic Designer
Management,Chemistry,Problem Solving,Collaboration,Education,Architect
Science,Accounts,Communication,Leadership,Marketing,Doctor
Computer Science,CS,Teamwork,Adaptability,Education,Mechanical Engineer
Science,Economics,Programming,Adaptability,Engineering,Civil Servant
Management,Physics,Teamwork,Time Management,Marketing,Robotics Engineer
Engineering,Math,Communication,Empathy,Research,Civil Servant
Commerce,History,Research,Empathy,Healthcare,Marketing Manager
Management,History,Problem Solving,Leadership,Engineering,UX Designer
Medical,Math,Analytical Thinking,Empathy,Engineering,Graphic Designer
Medical,History,Analytical Thinking,Collaboration,Research,Architect
Arts,Biology,Research,Collaboration,Finance,Teacher
Arts,Geography,Communication,Critical Thinking,IT,AI Researcher
Computer Science,Biology,Creativity,Empathy,Marketing,Graphic Designer
Medical,Geography,Programming,Leadership,Engineering,Pharmacist
Commerce,CS,Communication,Time Management,Healthcare,Investment Banker
Arts,Chemistry,Problem Solving,Time Management,Design,AI Researcher
Commerce,Geography,Analytical Thinking,Empathy,IT,Investment Banker
Computer Science,Physics,Creativity,Collaboration,Finance,Doctor
Management,Biology,Problem Solving,Leadership,Engineering,UX Designer
Management,Economics,Analytical Thinking,Empathy,Engineering,Lawyer
Medical,Physics,Problem Solving,Empathy,Finance,Lawyer
Engineering,Accounts,Programming,Empathy,Engineering,Web Developer
Science,Economics,Communication,Leadership,Engineering,Pharmacist
Commerce,Chemistry,Creativity,Critical Thinking,Finance,Entrepreneur
Computer Science,Economics,Communication,Adaptability,Research,Software Engineer
Commerce,CS,Programming,Collaboration,Education,Doctor
Computer Science,Biology,Problem Solving,Leadership,Finance,Investment Banker
Management,Geography,Teamwork,Critical Thinking,Research,Business Analyst
Computer Science,Accounts,Programming,Empathy,Marketing,Robotics Engineer
Computer Science,Chemistry,Teamwork,Time Management,IT,Robotics Engineer
Engineering,Math,Communication,Critical Thinking,Research,Psychologist
Science,CS,Communication,Collaboration,Design,Entrepreneur
Commerce,Accounts,Programming,Empathy,Design,Investment Banker
Arts,Math,Analytical Thinking,Time Management,IT,AI Researcher
Medical,Biology,Communication,Leadership,Design,Software Engineer
Medical,Physics,Analytical Thinking,Critical Thinking,Design,Pharmacist
Computer Science,Accounts,Analytical Thinking,Empathy,Design,Software Engineer
Engineering,Accounts,Research,Leadership,Healthcare,UX Designer
Science,Geography,Analytical Thinking,Leadership,Education,Pharmacist
Commerce,Physics,Communication,Critical Thinking,Healthcare,AI Researcher
Medical,Physics,Creativity,Collaboration,Education,Marketing Manager
Computer Science,Biology,Research,Critical Thinking,Engineering,Lawyer
Medical,CS,Programming,Adaptability,Education,Robotics Engineer
Commerce,Math,Teamwork,Collaboration,Design,Lawyer
Arts,Economics,Teamwork,Collaboration,Research,Civil Servant
